title,type,rating,release_year,duration,description
Cuba and the Cameraman,Movie,TV-14,2017,114 min,Emmy-winning filmmaker Jon Alpert chronicles the fortunes of three Cuban families over the course of four tumultuous decades in the nation's history.
The Secret,Movie,TV-14,2006,91 min,"An assembly of writers, philosophers and scientists share The Secret, which reputedly brought success to Plato, da Vinci, Einstein and other greats."
Patient Seventeen,Movie,TV-14,2017,68 min,A surgeon claims to remove high tech microchips that aliens used to manipulate the human race. This documentary seeks to separate fact from fiction.
Seeing Allred,Movie,TV-14,2018,96 min,"Explore the public and private sides of feminist firebrand attorney Gloria Allred, who's battled some of the biggest names in politics and business."
Take Your Pills,Movie,TV-14,2018,88 min,"In a hypercompetitive world, drugs like Adderall offer students, athletes, coders and others a way to do more – faster and better. But at what cost?"
Joshua: Teenager vs. Superpower,Movie,TV-14,2017,79 min,"Mobilized by teenage activist Joshua Wong, young citizens of Hong Kong take to the streets in a bid to preserve their history of autonomy from China."
Casting JonBenet,Movie,TV-14,2017,81 min,Local actors from JonBenet Ramsey's hometown offer multiple perspectives on her 1996 murder as they vie to play roles in a dramatization of the case.
Tokyo Idols,Movie,TV-14,2017,89 min,"This documentary follows J-Pop idol Rio and her predominantly middle-aged fans, and their seemingly transactional interactions."
"Behind ""The Cove"": The Quiet Japanese Speak Out",Movie,TV-14,2015,105 min,"After a documentary about the Japanese whaling industry garnered international attention, an amateur filmmaker decides to tell the rest of the story."
The Jack King Affair,Movie,TV-14,2015,52 min,This documentary explores a bold World War II operation in which an MI5 agent infiltrated a fascist network to intercept stolen documents.
The Last Resort,Movie,TV-14,2018,70 min,"In the waning days of the 70s, two young photographers document the Jewish retirees who dominated the sunny shores of South Beach."
House of Z,Movie,TV-14,2016,88 min,"Featuring archival footage and exclusive interviews, this documentary looks at the rise, fall and comeback of charismatic fashion designer Zac Posen."
Hostage to the Devil,Movie,TV-14,2016,96 min,"Follow the eerie story of Father Malachi Martin, a disenchanted priest whose belief in demonic possession would lead him to conduct several exorcisms."
Hope: One in a Billion,Movie,TV-14,2017,81 min,"The remarkable true story of Gift Ngoepe, the first African to play for Major League Baseball, is recounted in this inspiring documentary."
Long Time Running,Movie,TV-14,2017,96 min,This documentary follows the 2016 tour of beloved rock band The Tragically Hip as they make their way across Canada one last time.
The Lovers and the Despot,Movie,TV-14,2016,98 min,This firsthand account tells of two kidnapped South Korean movie professionals who became the unwilling personal filmmakers of dictator Kim Jong-il.
Speed Is My Need,Movie,TV-14,2019,75 min,"This daredevil documentary trails behind and into the minds of the biggest names in one of the world's most dangerous sports, superbike racing."
Hitler's Steel Beast,Movie,TV-14,2017,54 min,"Trace the history of Hitler's armored private train, a 15-car mobile headquarters boasting state-of-the-art communications and anti-aircraft cannons."
The Man Who Would Be Polka King,Movie,TV-14,2009,68 min,This irreverent documentary reveals how charming entertainer Jan Lewan bilked investors out of millions in a complicated investment scam.
Merata: How Mum Decolonised the Screen,Movie,TV-14,2018,88 min,New Zealand film archivist Heperi Mita traces the cinematic legacy of his mother and trailblazing Maori filmmaker Merata Mita.
Heal,Movie,TV-14,2017,107 min,"Stories from spiritual leaders, physicians and those with chronic illnesses reveal the powerful connection between the human psyche and physical health."
The Mayo Clinic,Movie,TV-14,2018,116 min,A look at how a world-renowned medical institution prioritizes patients' needs and has adapted to healthcare's evolving demands for over 150 years.
The Negro Soldier,Movie,TV-14,1944,40 min,This documentary urged African Americans to enlist and join in the effort to be part of America's continuing fight in World War II.
Harold and Lillian: A Hollywood Love Story,Movie,TV-14,2015,95 min,"Storyboard artist Harold Michelson and his film researcher wife, Lillian, recall the influence they had on 60 years of Hollywood's biggest hits."
Harlem Globetrotters: The Team That Changed the World,Movie,TV-14,2005,55 min,Relive the greatest moments of the Harlem Globetrotters with this documentary that chronicles the team's legendary 1948 defeat over the Minneapolis Lakers and their historic 1951 Berlin trip.
Highly Strung,Movie,TV-14,2015,80 min,"Fiery passions take center stage in this intimate look at the Australian String Quartet and, perhaps more vital, the priceless instruments they guard."
Los Niños Héroes de Chapultepec,Movie,TV-14,2017,88 min,This documentary pays tribute to the young cadets who gave their lives to defend Mexico against U.S. forces during the battle of Chapultepec Castle.
I Am Jane Doe,Movie,TV-14,2017,98 min,This intense documentary follows real cases of American girls enslaved in the child sex trade through ads in a newspaper's online classified section.
The House on Coco Road,Movie,TV-14,2016,79 min,"This film chronicles the journey of Fannie Haughton, an Oakland activist who fled to Grenada with her family just prior to the U.S. invasion in 1983."
Le K Benzema,Movie,TV-14,2017,121 min,"After a blackmailing scandal and being sidelined from the French national team, Real Madrid forward Karim Benzema tells his side of the story."
Know Your Enemy - Japan,Movie,TV-14,1945,63 min,"Though culturally insensitive by modern standards, this propaganda film examines the history of Japan from the 16th century through the 1930s."
Kill Hitler! The Luck of the Devil,Movie,TV-14,2015,53 min,"From politicians to officers, many attempted to kill Hitler – and failed. This documentary delves into the details of how their plots unraveled."
Teach Us All,Movie,TV-14,2017,81 min,"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that."
Listen Up! The Lives of Quincy Jones,Movie,TV-14,1990,116 min,"Steering clear of convention, this affecting documentary pays tribute to the life and work of composer, musician and producer Quincy Jones, one of the best-known and most respected men in the music industry."
Jugaad,Movie,TV-14,2017,52 min,"Following the stories of five diverse individuals, this documentary offers a glimpse into the indomitable tenacity of several Mumbai residents."
John & Jane,Movie,TV-14,2005,79 min,Truth and fiction blend in this quasi-documentary about six exhausted workers at a Mumbai call center servicing U.S. customers.
I Am Maris,Movie,TV-14,2018,54 min,"Through her own words and art, a young woman details the healing power of yoga in her struggle with anorexia and her journey to self-acceptance."
Joe Cocker: Mad Dog with Soul,Movie,TV-14,2017,90 min,"From his star turn at Woodstock to his battles with addiction, this film chronicles the stormy life and unique talent of soulful singer Joe Cocker."
Spitfire: The Plane that Saved the World,Movie,TV-14,2018,95 min,"In this epic documentary, last-surviving veterans trace the history of a legendary fighter aircraft that dominated the air during the Battle of Britain."
Jesus: Countdown to Calvary,Movie,TV-14,2018,53 min,Host Hugh Bonneville traces Jesus' last days to learn how the execution of an itinerant Jewish preacher had an immense impact on society.
The Battle of Midway,Movie,TV-14,1942,18 min,"Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific."
The Bomb,Movie,TV-14,2016,59 min,"Form, montage and mesmerizing kinetics propel this experimental meditation on the destructive power of the nuclear bomb, featuring music by The Acid."
Iron Cowboy: The Story of the 50.50.50,Movie,TV-14,2018,77 min,"A record-setting triathlete dares to complete 50 Ironman races – a 2.4-mile swim, a 112-mile bike ride, and a 26.2-mile run – in 50 days in 50 states."
The Devil We Know,Movie,TV-14,2018,88 min,This documentary details DuPont's alleged decades-long cover-up of the potential harm caused by chemicals used to make popular Teflon products.
I Dream Of Dance,Movie,TV-14,2017,106 min,Experience the joy and sacrifice of one of the nation's premier dance companies as its members and instructors prepare for a prestigious competition.
The Accountant of Auschwitz,Movie,TV-14,2018,78 min,"Decades after WWII, a former SS officer stands trial in his native Germany after being charged for his complicity in the murder of Jews at Auschwitz."
Hank: Five Years from the Brink,Movie,TV-14,2013,86 min,"From Joe Berlinger, director of the ""Paradise Lost"" trilogy, comes this documentary about controversial former U.S. Treasury Secretary Henry Paulson."
The NSU-Complex,Movie,TV-14,2016,90 min,"For 13 years, the underground neo-Nazi organization NSU eluded German police while planting bombs, robbing banks and killing immigrants at random."
The Perfect Day,Movie,TV-14,2018,93 min,"French soccer fans, celebrities and athletes retrace the exhilarating events of July 12, 1998, as France earned a historic win in the World Cup final."
Defying the Nazis: The Sharps' War,Movie,TV-14,2016,79 min,"This film documents the story of minister Waitstill Sharp and his wife, Martha, who risked everything to save thousands of refugees fleeing the Nazis."
Prelude to War,Movie,TV-14,1942,52 min,"Frank Capra's documentary chronicles the rise of authoritarianism in Germany, Italy and Japan as America prepares for a defense of liberty."
Memory Games,Movie,TV-14,2018,86 min,Glimpse into the brain's vast potential for memorization through the eyes of four competitive memory athletes as they share techniques and insights.
Mission Control: The Unsung Heroes of Apollo,Movie,TV-14,2017,100 min,"Combining archive footage with present-day interviews, this documentary explores how Apollo's mission control helped change the course of history."
Mr. Gaga: A True Story of Love and Dance,Movie,TV-14,2015,102 min,World-renowned choreographer Ohad Naharin is profiled in this vivid documentary that mixes rehearsal footage with insights about his influence.
Catching the Sun,Movie,TV-14,2015,74 min,This documentary explores the worldwide economics of the burgeoning solar energy industry and its impact on hopeful job seekers in the United States.
Capital in the Twenty-First Century,Movie,TV-14,2019,103 min,"Based on economist Thomas Piketty's best-selling book, this documentary examines wealth accumulation and its looming social repercussions."
Don't Crack Under Pressure III,Movie,TV-14,2017,94 min,"Through deserts, above mountains and deep into oceans, elite athletes — both veteran and new — form bonds and pursue adventure in sumptuous landscapes."
Born to Be Free,Movie,TV-14,2016,74 min,"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years."
Theo Who Lived,Movie,TV-14,2016,86 min,American journalist Theo Padnos retraces the Middle Eastern journey that led to his 2012 kidnapping and brutal torture by an al-Qaida faction.
Bobby Sands: 66 Days,Movie,TV-14,2016,106 min,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon."
Bobby Robson: More Than a Manager,Movie,TV-14,2018,99 min,"Explore the life and times of legendary soccer manager Bobby Robson, whose keen mind for the game was matched only by his devotion to his teams."
Secrets of Scotland Yard,Movie,TV-14,2013,55 min,"Revisit famous cases and explore the history of Scotland Yard, one of the world's oldest detective forces and a name synonymous with crime solving."
Not Alone,Movie,TV-14,2017,50 min,An 18-year-old struggling to understand her best friend's suicide talks to teenagers who have grappled with mental illness and suicidal thoughts.
Beyond All Boundaries,Movie,TV-14,2013,98 min,"As the 2011 Cricket World Cup begins, three Indians demonstrate their passion and the sacrifices they've made for the country's most popular sport."
Being AP,Movie,TV-14,2015,99 min,"With retirement staring him in the face, an all-time-great jump jockey pursues his 20th consecutive title in his unrelenting quest for glory."
Bombshell: The Hedy Lamarr Story,Movie,TV-14,2017,89 min,"An unearthed audio interview of Hollywood icon Hedy Lamarr reveals a woman with brains as well as beauty, who was the first to patent frequency hopping."
E-Cigarettes: Miracle or Menace?,Movie,TV-14,2016,52 min,This documentary investigates the surge in vaping culture and whether e-cigarettes can really help smokers kick the habit.
The Truth About Alcohol,Movie,TV-14,2016,58 min,"Emergency room doctor Javid Abdelmoneim endeavors to learn the truth about alcohol, both its benefits and risks, by exploring the science of drinking."
El Che,Movie,TV-14,2017,119 min,"Spanish-Mexican writer Paco Ignacio Taibo II hits the road to trace the footsteps of Ernesto ""Che"" Guevara and sheds new light on the revolutionary."
The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,Movie,TV-14,2017,96 min,"This colorful documentary explores the origins and impact of He-Man, a character whose power stretched well beyond a toy line and children's TV show."
Losing Sight of Shore,Movie,TV-14,2017,92 min,"This documentary recounts the feats of the Coxless Crew, a team of four women who rowed from San Francisco to Australia in support of two charities."
The Pursuit,Movie,TV-14,2019,76 min,"In a time of turbulence for the free market system, one economist explores how it has lifted billions out of poverty, and might just save us all."
The Redeemed and the Dominant: Fittest on Earth,Movie,TV-14,2017,120 min,"Questions about endurance, doping and overall toughness surround a group of elite athletes as they compete fiercely at the Reebok Crossfit Games."
Forbidden Games: The Justin Fashanu Story,Movie,TV-14,2017,81 min,"This documentary chronicles the tragic, true story of Justin Fashanu, the first – and only – openly gay man to have played professional soccer."
Magnetic,Movie,TV-14,2018,110 min,"Attracted to thrills across the globe, intrepid athletes venture to remote locations in pursuit of their extreme form of bliss."
Fittest in Dubai,Movie,TV-14,2019,60 min,Top athletes from around the globe test their fitness in a four-day competition at the first-ever CrossFit Sanctional event. Let the games begin.
The Surrounding Game,Movie,TV-14,2018,98 min,"Teens in America dedicate themselves to the Asian game of Go, which originated in ancient China, drawing meaningful life lessons along the way."
Fishpeople,Movie,TV-14,2017,49 min,"In this exploration of the life-changing power of the ocean, six people from very different backgrounds find purpose and meaning in the sea."
Fire at Sea,Movie,TV-14,2016,114 min,"Heartbreak, hope and nostalgia collide in this complex portrait of Lampedusa, a Mediterranean island where thousands of migrants land each year."
Famous in Ahmedabad,Movie,TV-14,2015,29 min,Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at India’s biggest kite-flying festival.
Enlighten Us,Movie,TV-14,2016,93 min,This documentary digs deep to recount the saga of the superstar self-help guru convicted of negligent homicide in the deaths of three followers.
Martyrs of Marriage,Movie,TV-14,2016,83 min,This documentary reveals the cracks in India's anti-dowry act and gives voice to both women and men who've been victimized by the law's abusers.
Empire of Scents,Movie,TV-14,2014,87 min,This documentary explores the extent to which our sense of smell directs our survival instincts and enriches our sensual experiences.
Elles étaient en guerre (1914-1918),Movie,TV-14,2014,93 min,Trace the overlapping journeys of exceptional women swept up in World War I and hear their tales of bravery on history's front lines.
Meet the Trumps: From Immigrant to President,Movie,TV-14,2017,48 min,"Learn about Donald Trump's family history, including his immigrant grandfather's gold-rush enterprises and his dad's development of a property empire."
El fin de ETA,Movie,TV-14,2017,106 min,"This documentary chronicles the decade-long process that led to the end of the ETA, a Basque terrorist group that operated for more than 50 years."
To Be a Miss,Movie,TV-14,2016,84 min,Explore how the media and nationalism have fueled Venezuela's passion for physical appearance and the multibillion-dollar beauty pageant industry.
ReMastered: The Lion's Share,Movie,TV-14,2019,84 min,"After discovering the family of Solomon Linda, the writer of ""The Lion Sleeps Tonight,"" a reporter tries to help them fight for fair compensation."
Real Crime: Supermarket Heist (Tesco Bomber),Movie,TV-14,2010,46 min,"In 2000, U.K. detectives spent months tracking a criminal known only as Sally, who was targeting a supermarket chain with extortion and letter bombs."
Born in Syria,Movie,TV-14,2016,87 min,This intimate documentary follows a group of Syrian children refugees who narrowly escape a life of torment and integrate into a foreign land.
The Creative Brain,Movie,TV-14,2019,53 min,"Neuroscientist David Eagleman taps into the creative process of various innovators while exploring brain-bending, risk-taking ways to spark creativity."
Tony Parker: The Final Shot,Movie,TV-14,2020,99 min,"This film examines the background and career of Tony Parker, whose determination led him to become arguably the greatest French basketball player."
Creating The Queen's Gambit,Movie,TV-14,2021,14 min,"A fascinating character. Exquisite sets. A wig for every era. The stars, creators and crew reveal how the hit series about a chess prodigy came to life."
What Would Sophia Loren Do?,Movie,TV-14,2021,32 min,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren."
Accomplice,Movie,TV-14,2021,52 min,Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.
Pelé,Movie,TV-14,2021,109 min,"Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé’s extraordinary path from breakthrough talent to national hero."
The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,Movie,TV-14,2019,14 min,"Aaron Paul, Vince Gilligan and other cast members, producers and crew share stories and footage from the making of ""El Camino."""
Made You Look: A True Story About Fake Art,Movie,TV-14,2020,90 min,"A woman walks into a New York gallery with a cache of unknown masterworks. Thus begins a story of art world greed, willfulness and a high-stakes con."
Audrey,Movie,TV-14,2020,101 min,"An intimate portrait of legendary Hollywood actress, fashion icon and humanitarian Audrey Hepburn, who stood for love above all else."
The Last Blockbuster,Movie,TV-14,2020,87 min,"This nostalgic documentary reveals the real story of Blockbuster's demise, and how one last location in Oregon keeps the spirit of a bygone era alive."
Minimalism: A Documentary About the Important Things,Movie,TV-14,2016,78 min,People dedicated to rejecting the American ideal that things bring happiness are interviewed in this documentary showing the virtues of less is more.
A Plastic Ocean,Movie,TV-14,2016,100 min,"When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts."
Madness in the Desert,Movie,TV-14,2004,141 min,"The story of making ""Lagaan,"" one of the millennium's seminal Indian films, is told from the point of view of production team member Satyajit Bhatkal."
Free to Play,Movie,TV-14,2014,76 min,This documentary follows three professional video game players as they compete in an international tournament with a million-dollar prize.
Searching For Sheela,Movie,TV-14,2021,58 min,Journalists and fans await Ma Anand Sheela as the infamous former Rajneesh commune’s spokesperson returns to India after decades for an interview tour.
Steal a Pencil for Me,Movie,TV-14,2006,94 min,This moving documentary chronicles the unshakeable romance between a couple who met and fell in love while imprisoned in a Nazi concentration camp.
Wave of Cinema: Filosofi Kopi,Movie,TV-14,2020,64 min,"In this concert film, artists perform music from the soundtrack of ""Filosofi Kopi,"" which tells the story of coffee and the people who cherish it."
Amy Tan: Unintended Memoir,Movie,TV-14,2021,101 min,"From her painful past to her successful career after ""The Joy Luck Club,"" groundbreaking writer Amy Tan shares her life story in this documentary."
American Factory,Movie,TV-14,2019,110 min,"In this documentary, hopes soar when a Chinese company reopens a shuttered factory in Ohio. But a culture clash threatens to shatter an American dream."
Black Holes | The Edge of All We Know,Movie,TV-14,2021,99 min,Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.
Myriam Fares: The Journey,Movie,TV-14,2021,72 min,"From pregnancy to album preparations, Lebanese singer and “Queen of the Stage” Myriam Fares documents her experiences with her family while in lockdown."
Trese After Dark,Movie,TV-14,2021,36 min,"Stars and creators gather to discuss “Trese,” from its Filipino folklore inspirations to the comic’s beginnings and its journey to an anime series."
Wave of Cinema: One Day We'll Talk About Today,Movie,TV-14,2020,71 min,"Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma."
The Minimalists: Less Is Now,Movie,TV-14,2021,54 min,They've built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.
SunGanges,Movie,TV-14,2018,74 min,"A trio of filmmakers treks across India to explore the correlation between vanishing rivers, massive energy projects and renewable energy sources."
El sendero de la anaconda,Movie,TV-14,2019,74 min,"In the most remote areas of the Amazon jungle, a writer and his anthropologist friend meet communities who have resisted change for centuries."
Fire in the Blood,Movie,TV-14,2012,83 min,Dylan Mohan Gray examines Africa's AIDS crisis and activists' battle with pharmaceutical companies to make life-saving HIV drugs more affordable.
The Silence of Others,Movie,TV-14,2019,96 min,"Filmed over six years, this documentary captures the struggles of victims who suffered abuse under Gen. Francisco Franco's regime as they seek justice."
A Secret Love,Movie,TV-14,2020,83 min,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges."
#AnneFrank - Parallel Stories,Movie,TV-14,2019,95 min,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren."
Surviving R. Kelly: The Impact,Movie,TV-14,2019,85 min,"From public protests to viral movements, the aftermath of the R. Kelly docuseries is explored in this special featuring journalists and experts."
Mucho Mucho Amor: The Legend of Walter Mercado,Movie,TV-14,2020,96 min,"Dazzling and tender-hearted, legendary astrologer Walter Mercado vanished at the peak of his fame. This documentary poignantly explains what happened."
The Claudia Kishi Club,Movie,TV-14,2020,17 min,"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short."
There's Something in the Water,Movie,TV-14,2019,72 min,This documentary spotlights the struggle of minority communities in Nova Scotia as they fight officials over the lethal effects of industrial waste.
Anelka: Misunderstood,Movie,TV-14,2020,95 min,"Inscrutable, incomparable or both? Famed French footballer Nicolas Anelka’s controversial legacy is explored in this in-depth documentary."
Stars in the Sky: A Hunting Story,Movie,TV-14,2018,69 min,"This documentary follows a group of hunters as they grapple with the complexities, controversies, and contradictions of pursuing animals in the wild."
A Life of Speed: The Juan Manuel Fangio Story,Movie,TV-14,2020,93 min,"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used."
XV: Beyond the Tryline,Movie,TV-14,2016,91 min,"Set against the 2015 Rugby World Cup, this documentary captures the allure of rugby as told by fans, players and others who have touched the game."
Gardeners of Eden,Movie,TV-14,2014,70 min,"As corrupt governments fail to stop the slaughter of elephants for ivory, an 80-year-old woman and a crew of rangers bravely try to end the poaching."
Betty White: First Lady of Television,Movie,TV-14,2018,56 min,This documentary on actress and television producer Betty White traces her decades-long career as a  woman breaking new ground in entertainment.
Human Nature,Movie,TV-14,2019,95 min,"From breakthrough science to the boundaries of morality, this documentary spotlights a revelation in genetic modification research known as CRISPR."
"El Pepe, a Supreme Life",Movie,TV-14,2018,73 min,"In this intimate documentary, former Uruguayan President José ""Pepe"" Mujica talks about lessons he learned while in prison, his ideals and the future."
Carlos Almaraz: Playing with Fire,Movie,TV-14,2019,83 min,"Mixing archival footage with interviews, this film celebrates one of Los Angeles's most influential painters and Chicano art activists from the 1970s."
Dolly Parton: Here I Am,Movie,TV-14,2019,90 min,"Dolly Parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career."
BLACKPINK: Light Up the Sky,Movie,TV-14,2020,80 min,Record-shattering Korean girl band BLACKPINK tell their story — and detail the hard-fought journey of the dreams and trials behind their meteoric rise.
Whispers,Movie,TV-14,1980,93 min,"With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse."
Heritages,Movie,TV-14,2014,96 min,"After being forced to leave his country three times, a Lebanese film director traces his roots and analyzes key moments of the nation's history."
Guillermo Vilas: Settling the Score,Movie,TV-14,2020,95 min,"An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s."
We Are All For The Fatherland,Movie,TV-14,1979,74 min,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South."
The Reason I Jump,Movie,TV-14,2021,82 min,The diverse experiences and emotions of five young people with autism fuel this illuminating documentary based on Naoki Higashida's bestselling memoir.
The Milk System,Movie,TV-14,2017,91 min,"Farmers, scientists and industry insiders delve into the hidden costs and consequences of global dairy production and offer up possible solutions."
Seaspiracy,Movie,TV-14,2021,90 min,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species — and uncovers alarming global corruption."
Wonder Boy,Movie,TV-14,2019,83 min,This revealing documentary follows Balmain creative director Olivier Rousteing as he brings his bold designs to life and goes in search of his origins.
Lady Boss: The Jackie Collins Story,Movie,TV-14,2021,97 min,"""Queen of Sleaze"" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles."
Unbroken,Movie,TV-14,2019,109 min,"After the brutal murders of their loved ones, three individuals share how they healed through forgiveness in this documentary presented by Aamir Khan."
Born in Gaza,Movie,TV-14,2014,70 min,This documentary focuses on the devastating violence of the Israel-Palestine conflict and its effects on the children of Gaza.
Cristina,Movie,TV-14,2016,40 min,"In this short documentary, 37-year-old Cristina valiantly battles cancer while doing all she can to encourage others to live in the moment."
El testigo,Movie,TV-14,2018,73 min,Colombian photojournalist Jesús Abad Colorado shares the stories behind a series of civil war photographs he captured throughout the '80s and '90s.
I'm Glad I Did,Movie,TV-14,2020,114 min,Glimpse into the life and decades-long career of Turkish performer Metin Akpınar through personal interviews with him and his contemporaries.
The Women and the Murderer,Movie,TV-14,2021,92 min,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
The Edge of Democracy,Movie,TV-14,2019,122 min,Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.
"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,TV-14,2021,93 min,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
Murder by the Coast,Movie,TV-14,2021,89 min,"In 1999, teen Rocío Wanninkhof is murdered. Her mother's ex-partner, Dolores Vázquez, is suspected. Did she do it? A second victim reveals the truth."
Biking Borders,Movie,TV-14,2019,89 min,"Best friends Max and Nono bike from Berlin to Beijing, collecting donations to build a school for a unique fundraising adventure in this documentary."
Schumacher,Movie,TV-14,2021,113 min,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
Fantastic Fungi,Movie,TV-14,2019,81 min,"Delve into the magical world of fungi, from mushrooms that clear oil spills to underground fungal networks that help trees communicate."
Parchís: the Documentary,Movie,TV-14,2019,106 min,"The spotlight's on Parchís, a record company-created Spanish boy/girl band that had unprecedented success with Top 10 songs and hit films in the '80s."
Wave of Cinema: Surat dari Timur,Movie,TV-G,2020,58 min,"Featuring a mix of film footage and special performances, this virtual concert honors the memory and music of revered Indonesian singer Glenn Fredly."
The Tigers of Scotland,Movie,TV-G,2017,58 min,"This documentary highlights the endangered existence of the Scottish wildcats, and the conservation efforts required to prevent their extinction."
Making Unorthodox,Movie,TV-G,2020,21 min,A look at the making of one of the first series to authentically portray and explore issues in a Hasidic community as they pertain to women's lives.
National Parks Adventure,Movie,TV-G,2016,42 min,"Narrated by Robert Redford, this documentary tours the awe-inspiring landscapes, historic sites and untamed wilderness of America's great parks."
Birders,Movie,TV-G,2019,38 min,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.
Waterschool,Movie,TV-G,2018,68 min,"Six young women, who each live near one of Earth's major rivers, share how the Waterschool environmental education program has impacted their lives."
American Factory: A Conversation with the Obamas,Movie,TV-G,2019,10 min,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.
Nature: Raising the Dinosaur Giant,Movie,TV-G,2016,53 min,Sir David Attenborough examines a recently discovered collection of dinosaur fossils. CGI and 3-D scans reveal what the beast may have looked like.
Chandani: The Daughter of the Elephant Whisperer,Movie,TV-G,2010,87 min,A girl who wants to be an elephant driver like her father is given the chance to raise a calf and becomes even more determined when it's taken away.
Elizabeth at 90: A Family Tribute,Movie,TV-G,2016,90 min,A blend of the royal family's intimate recollections and rarely seen home movies pays tribute to Queen Elizabeth II on the eve of her 90th birthday.
Little Miss Sumo,Movie,TV-G,2018,20 min,"In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japan’s national pastime."
AlphaGo,Movie,TV-G,2017,90 min,"Seemingly simple but deceptively complex, the game of ""Go"" serves as the backdrop for this battle between artificial intelligence and man."
Connected,Movie,TV-G,2021,42 min,"Argentine DJ Hernán Cattáneo, known for his house music innovations, invites a symphonic orchestra for a four-night run at Buenos Aires' Teatro Colón."
NOVA: Bird Brain,Movie,TV-G,2017,53 min,Scientists test avian aptitude and challenge concepts of intelligence with examples ranging from puzzle-solving crows to parrots with a sense of time.
NOVA: Black Hole Apocalypse,Movie,TV-G,2018,113 min,"Astrophysicists show how black holes might hold answers to how the universe evolved, leading to life on Earth and, ultimately, the human race."
Sky Tour: The Movie,Movie,TV-G,2020,93 min,"From the preparations to the performances, this documentary showcases Vietnamese pop idol Sơn Tùng M-TP and the passion behind his Sky Tour concerts."
NOVA: Death Dive to Saturn,Movie,TV-G,2017,54 min,"After decades of amazing discoveries, spacecraft Cassini embarks on its final – and most daring – mission: a dive below Saturn’s rings."
Guy Martin: Last Flight of the Vulcan Bomber,Movie,TV-G,2015,57 min,Guy Martin assists in preparing the last airworthy Vulcan bomber for a farewell tour while revealing the stories behind the iconic aircraft.
My Octopus Teacher,Movie,TV-G,2020,86 min,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world."
NOVA: Eclipse Over America,Movie,TV-G,2017,53 min,"Scientists reveal how the 2017 solar eclipse provided new clues into how the sun works, from its scorching atmosphere to its deadly solar storms."
The Search for Life in Space,Movie,TV-G,2016,32 min,"To determine whether we're alone in the universe, astrobiologists look to Jupiter, Mars and, closer to home, extreme environments on Earth."
One Heart: The A.R. Rahman Concert Film,Movie,TV-G,2017,87 min,"In this concert film, Indian musical maestro A.R. Rahman performs 15 of his most popular songs and reveals himself through interviews and clips."
Kiss the Ground,Movie,TV-G,2020,85 min,Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.
