title,type,rating,release_year,duration,description
Before the Flood,Movie,PG,2016,97 min,Leonardo DiCaprio crisscrosses the globe to investigate the consequences of man-made globe warming and the measures being taken to reverse it.
Knock Down The House,Movie,PG,2019,88 min,Go behind the scenes as four determined women – including Alexandria Ocasio-Cortez – challenge big-money politicians in the 2018 race for Congress.
Becoming,Movie,PG,2020,89 min,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming."""
Bethany Hamilton: Unstoppable,Movie,PG,2019,100 min,This documentary follows the rising tide of Bethany Hamilton who lost her arm as a teen before making waves in pro surfing and her personal life.
Generation Iron 2,Movie,PG-13,2017,107 min,"New-generation bodybuilding stars – including Rich Piana, Kai Greene and Calum von Moger – share their experiences competing in the demanding sport."
Undefeated,Movie,PG-13,2011,113 min,An inspirational profile of an inner-city high school football team's valiant effort to reach the school's first-ever playoff game.
Echo in the Canyon,Movie,PG-13,2019,82 min,"An affectionate documentary looks back at the mid-1960s, when Hollywood’s Laurel Canyon was a creative nexus for young, innovative musicians."
Good Hair,Movie,PG-13,2009,96 min,Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of Black hair.
Lo and Behold: Reveries of the Connected World,Movie,PG-13,2016,98 min,"Filmmaker Werner Herzog presents a history of the internet, starting with its birth in 1969, and ponders the joys and sorrows of its social influence."
Blackfish,Movie,PG-13,2013,83 min,"This fascinating documentary examines the life of performing killer whale Tilikum, who has caused the deaths of several people while in captivity."
Jeremy Scott: The People's Designer,Movie,PG-13,2015,109 min,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.
20 Feet From Stardom,Movie,PG-13,2013,91 min,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support."
A Murder in the Park,Movie,PG-13,2014,91 min,"This documentary excoriates a noted anti-death-penalty activist and his team, whose questionable methods got a convicted killer freed in 1999."
Rize,Movie,PG-13,2005,87 min,"This documentary explores ""krumping,"" a fast-paced urban dance, and follows the man that originated the phenomenon in South Central Los Angeles."
Bully,Movie,PG-13,2012,98 min,This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.
He Named Me Malala,Movie,PG-13,2015,89 min,"This documentary tells the story of a teenage Pakistani girl shot for her advocacy of women's education, her survival, and her continued efforts."
The Social Dilemma,Movie,PG-13,2020,94 min,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations."
Rising Phoenix,Movie,PG-13,2020,107 min,"Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability, diversity and excellence."
Bathtubs Over Broadway,Movie,PG-13,2018,87 min,"A comedy writer for David Letterman unearths a hidden world of hilariously bizarre musicals, which turns into a toe-tapping obsession."
I Am Not Your Negro,Movie,PG-13,2017,94 min,"Based on James Baldwin's unfinished book, this visual essay explores racism through the stories of Medgar Evers, Malcolm X and Martin Luther King Jr."
Athlete A,Movie,PG-13,2020,104 min,This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.
Giving Voice,Movie,PG-13,2020,91 min,"Six ambitious student actors audition for the prestigious August Wilson Monologue Competition, culminating in a riveting final round on Broadway."
Dick Johnson Is Dead,Movie,PG-13,2020,90 min,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
Amandla! A Revolution in Four Part Harmony,Movie,PG-13,2002,103 min,This documentary recounts the fascinating and little-known role that music has played in the struggle to eradicate apartheid in South Africa.
"Thelonious Monk: Straight, No Chaser",Movie,PG-13,1988,89 min,The spotlight shines on iconic jazz pianist and composer Thelonious Monk in this 1988 documentary featuring vintage performance clips and interviews.
The Hurt Business,Movie,PG-13,2016,111 min,"Featuring legendary and up-and-coming MMA fighters, this documentary details the history of the brutal sport and the fighters' struggles and triumphs."
The Look of Silence,Movie,PG-13,2014,103 min,"In a society terrorized into silence, the brother of a 1960s Indonesian genocide victim learns the identity of his murderers and confronts them."
Audible,Movie,PG-13,2021,39 min,"Shaken by a friend's suicide, a Deaf high school football player copes with family and relationships while anticipating his final homecoming game."
The Unknown Known,Movie,PG-13,2013,103 min,"Donald Rumsfeld reviews his long political career, from his time in Congress to serving as secretary of defense under Gerald Ford and George W. Bush."
The Last Days,Movie,PG-13,1998,87 min,This Oscar-winning documentary recounts the harrowing stories of five Hungarian Jews who endured the horrors of the Holocaust and Hitler's reign.
Senna,Movie,PG-13,2010,106 min,"This fast-paced documentary profiles Ayrton Senna, one of the greatest drivers in the history of Formula One racing, and a hero in his native Brazil."
Misha and the Wolves,Movie,PG-13,2021,90 min,"As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."
Searching for Sugar Man,Movie,PG-13,2012,86 min,"Decades after Detroit singer-songwriter Rodriguez disappeared following the commercial failure of his albums, two fans try to track down their idol."
